2,2,100,1,GDOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
1800,-713353.8231,-4045557.271,4862933.575,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666623,-1.74533235,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713353.8231,-4045557.271,4862933.575,-6.023,6.5624,4.5452,0,0,0,0.872666623,-1.74533235,178,2.296
1900,-713354.4254,-4045556.615,4862934.03,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666734,-1.745332522,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713354.4254,-4045556.615,4862934.03,-6.023,6.5624,4.5452,0,0,0,0.872666734,-1.745332522,178,2.296
2000,-713355.0277,-4045555.959,4862934.484,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666845,-1.745332695,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713355.0277,-4045555.959,4862934.484,-6.023,6.5624,4.5452,0,0,0,0.872666845,-1.745332695,178,2.296
2100,-713355.63,-4045555.302,4862934.939,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872666956,-1.745332867,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713355.63,-4045555.302,4862934.939,-6.023,6.5624,4.5452,0,0,0,0.872666956,-1.745332867,178,2.296
2200,-713356.2323,-4045554.646,4862935.393,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872667067,-1.745333039,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713356.2323,-4045554.646,4862935.393,-6.023,6.5624,4.5452,0,0,0,0.872667067,-1.745333039,178,2.296
2300,-713356.8346,-4045553.99,4862935.848,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872667178,-1.745333211,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713356.8346,-4045553.99,4862935.848,-6.023,6.5624,4.5452,0,0,0,0.872667178,-1.745333211,178,2.296
2400,-713357.4369,-4045553.334,4862936.302,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872667289,-1.745333383,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713357.4369,-4045553.334,4862936.302,-6.023,6.5624,4.5452,0,0,0,0.872667289,-1.745333383,178,2.296
2500,-713358.0393,-4045552.677,4862936.757,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.8726674,-1.745333555,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713358.0393,-4045552.677,4862936.757,-6.023,6.5624,4.5452,0,0,0,0.8726674,-1.745333555,178,2.296
2600,-713358.6416,-4045552.021,4862937.211,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872667511,-1.745333727,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713358.6416,-4045552.021,4862937.211,-6.023,6.5624,4.5452,0,0,0,0.872667511,-1.745333727,178,2.296
2700,-713359.2439,-4045551.365,4862937.666,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872667622,-1.7453339,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713359.2439,-4045551.365,4862937.666,-6.023,6.5624,4.5452,0,0,0,0.872667622,-1.7453339,178,2.296
2800,-713359.8462,-4045550.709,4862938.12,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872667733,-1.745334072,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713359.8462,-4045550.709,4862938.12,-6.023,6.5624,4.5452,0,0,0,0.872667733,-1.745334072,178,2.296
2900,-713360.4485,-4045550.053,4862938.575,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872667844,-1.745334244,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713360.4485,-4045550.053,4862938.575,-6.023,6.5624,4.5452,0,0,0,0.872667844,-1.745334244,178,2.296
3000,-713361.0508,-4045549.396,4862939.029,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872667955,-1.745334416,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713361.0508,-4045549.396,4862939.029,-6.023,6.5624,4.5452,0,0,0,0.872667955,-1.745334416,178,2.296
3100,-713361.653,-4045548.74,4862939.484,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872668065,-1.745334588,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713361.653,-4045548.74,4862939.484,-6.023,6.5624,4.5452,0,0,0,0.872668065,-1.745334588,178,2.296
3200,-713362.2553,-4045548.084,4862939.938,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872668176,-1.74533476,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713362.2553,-4045548.084,4862939.938,-6.023,6.5624,4.5452,0,0,0,0.872668176,-1.74533476,178,2.296
3300,-713362.8576,-4045547.428,4862940.393,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872668287,-1.745334932,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713362.8576,-4045547.428,4862940.393,-6.023,6.5624,4.5452,0,0,0,0.872668287,-1.745334932,178,2.296
3400,-713363.4599,-4045546.771,4862940.847,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872668398,-1.745335104,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713363.4599,-4045546.771,4862940.847,-6.023,6.5624,4.5452,0,0,0,0.872668398,-1.745335104,178,2.296
3500,-713364.0622,-4045546.115,4862941.302,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872668509,-1.745335277,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713364.0622,-4045546.115,4862941.302,-6.023,6.5624,4.5452,0,0,0,0.872668509,-1.745335277,178,2.296
3600,-713364.6645,-4045545.459,4862941.756,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.87266862,-1.745335449,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713364.6645,-4045545.459,4862941.756,-6.023,6.5624,4.5452,0,0,0,0.87266862,-1.745335449,178,2.296
3700,-713365.2668,-4045544.803,4862942.211,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872668731,-1.745335621,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713365.2668,-4045544.803,4862942.211,-6.023,6.5624,4.5452,0,0,0,0.872668731,-1.745335621,178,2.296
3800,-713365.8691,-4045544.146,4862942.665,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872668842,-1.745335793,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713365.8691,-4045544.146,4862942.665,-6.023,6.5624,4.5452,0,0,0,0.872668842,-1.745335793,178,2.296
3900,-713366.4714,-4045543.49,4862943.12,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872668953,-1.745335965,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713366.4714,-4045543.49,4862943.12,-6.023,6.5624,4.5452,0,0,0,0.872668953,-1.745335965,178,2.296
4000,-713367.0737,-4045542.834,4862943.574,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872669064,-1.745336137,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713367.0737,-4045542.834,4862943.574,-6.023,6.5624,4.5452,0,0,0,0.872669064,-1.745336137,178,2.296
4100,-713367.676,-4045542.178,4862944.029,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872669175,-1.745336309,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713367.676,-4045542.178,4862944.029,-6.023,6.5624,4.5452,0,0,0,0.872669175,-1.745336309,178,2.296
4200,-713368.2783,-4045541.521,4862944.483,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872669286,-1.745336481,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713368.2783,-4045541.521,4862944.483,-6.023,6.5624,4.5452,0,0,0,0.872669286,-1.745336481,178,2.295
4300,-713368.8806,-4045540.865,4862944.938,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872669397,-1.745336654,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713368.8806,-4045540.865,4862944.938,-6.023,6.5624,4.5452,0,0,0,0.872669397,-1.745336654,178,2.295
4400,-713369.4829,-4045540.209,4862945.392,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872669508,-1.745336826,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713369.4829,-4045540.209,4862945.392,-6.023,6.5624,4.5452,0,0,0,0.872669508,-1.745336826,178,2.295
4500,-713370.0852,-4045539.553,4862945.847,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872669619,-1.745336998,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713370.0852,-4045539.553,4862945.847,-6.023,6.5624,4.5452,0,0,0,0.872669619,-1.745336998,178,2.295
